model,protocol,fold,seed,git_commit,git_dirty,params,size_mb,train_time_s,epochs_run,best_epoch,threshold,val_f1,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,accuracy,tn,fp,fn,tp,event_recall,event_recall_localized,false_alarms_per_adl_video,false_alarms_per_hour
lstm_attention,fixed,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,27.021465289999924,13,3,0.03183339163661003,0.5866666666666667,0.5094339622641509,0.9,0.6506024096385542,0.8504856656734152,0.9477477477477478,0.8797297297297297,0.8651162790697674,159,26,3,27,1.0,1.0,1.125,596.319018404908
rule,cv,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.029644794999967417,0,0,1.0,0.7924528301886793,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.7163711749848567,0.8855889974088101,0.7527406816822803,0.8960396039603961,165,8,13,16,1.0,1.0,0.5,269.1588785046729
rule,cv,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.029432834999852275,0,0,1.0,0.7924528301886793,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.7163711749848567,0.8855889974088101,0.7527406816822803,0.8960396039603961,165,8,13,16,1.0,1.0,0.5,269.1588785046729
rule,cv,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.0371207850000701,0,0,1.0,0.7924528301886793,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.7163711749848567,0.8855889974088101,0.7527406816822803,0.8960396039603961,165,8,13,16,1.0,1.0,0.5,269.1588785046729
rule,cv,1,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.04982525400009763,0,0,1.0,0.8275862068965517,0.9411764705882353,0.5714285714285714,0.7111111111111111,0.8419737036235673,0.9583586626139817,0.7835866261398177,0.9505703422053232,234,1,12,16,1.0,1.0,0.125,55.102040816326536
rule,cv,1,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.036271926999916104,0,0,1.0,0.8275862068965517,0.9411764705882353,0.5714285714285714,0.7111111111111111,0.8419737036235673,0.9583586626139817,0.7835866261398177,0.9505703422053232,234,1,12,16,1.0,1.0,0.125,55.102040816326536
rule,cv,1,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.03153601200006051,0,0,1.0,0.8275862068965517,0.9411764705882353,0.5714285714285714,0.7111111111111111,0.8419737036235673,0.9583586626139817,0.7835866261398177,0.9505703422053232,234,1,12,16,1.0,1.0,0.125,55.102040816326536
rule,cv,2,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.0307953980000093,0,0,1.0,0.7407407407407408,0.6571428571428571,0.696969696969697,0.676470588235294,0.696943736537687,0.9032214032214032,0.8214578214578214,0.9137254901960784,210,12,10,23,1.0,1.0,0.375,182.43243243243242
rule,cv,2,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.04447283000013158,0,0,1.0,0.7407407407407408,0.6571428571428571,0.696969696969697,0.676470588235294,0.696943736537687,0.9032214032214032,0.8214578214578214,0.9137254901960784,210,12,10,23,1.0,1.0,0.375,182.43243243243242
rule,cv,2,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.035977732999981527,0,0,1.0,0.7407407407407408,0.6571428571428571,0.696969696969697,0.676470588235294,0.696943736537687,0.9032214032214032,0.8214578214578214,0.9137254901960784,210,12,10,23,1.0,1.0,0.375,182.43243243243242
rule,cv,3,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.06616129300005014,0,0,1.0,0.6666666666666667,0.6428571428571429,0.782608695652174,0.7058823529411765,0.7909930348253527,0.9431269213877909,0.8660518225735617,0.9321266968325792,188,10,5,18,1.0,1.0,0.625,304.2253521126761
rule,cv,3,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.04287205900004665,0,0,1.0,0.6666666666666667,0.6428571428571429,0.782608695652174,0.7058823529411765,0.7909930348253527,0.9431269213877909,0.8660518225735617,0.9321266968325792,188,10,5,18,1.0,1.0,0.625,304.2253521126761
rule,cv,3,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.04358414700004687,0,0,1.0,0.6666666666666667,0.6428571428571429,0.782608695652174,0.7058823529411765,0.7909930348253527,0.9431269213877909,0.8660518225735617,0.9321266968325792,188,10,5,18,1.0,1.0,0.625,304.2253521126761
rule,cv,4,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.03348805100017671,0,0,1.0,0.7450980392156864,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8379248538383858,0.9427954668105774,0.8189422558014032,0.9444444444444444,216,2,12,22,1.0,1.0,0.25,118.35616438356165
rule,cv,4,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.05663317699986692,0,0,1.0,0.7450980392156864,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8379248538383858,0.9427954668105774,0.8189422558014032,0.9444444444444444,216,2,12,22,1.0,1.0,0.25,118.35616438356165
rule,cv,4,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.04597302499996658,0,0,1.0,0.7450980392156864,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8379248538383858,0.9427954668105774,0.8189422558014032,0.9444444444444444,216,2,12,22,1.0,1.0,0.25,118.35616438356165
rule,fixed,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.025944310999875597,0,0,1.0,0.7307692307692306,0.65,0.43333333333333335,0.5199999999999999,0.5973151198264021,0.8866666666666667,0.6977477477477478,0.8883720930232558,178,7,17,13,1.0,1.0,0.25,132.51533742331287
rule,fixed,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.023310685000069498,0,0,1.0,0.7307692307692306,0.65,0.43333333333333335,0.5199999999999999,0.5973151198264021,0.8866666666666667,0.6977477477477478,0.8883720930232558,178,7,17,13,1.0,1.0,0.25,132.51533742331287
rule,fixed,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,0,0.0,0.023058810000065932,0,0,1.0,0.7307692307692306,0.65,0.43333333333333335,0.5199999999999999,0.5973151198264021,0.8866666666666667,0.6977477477477478,0.8883720930232558,178,7,17,13,1.0,1.0,0.25,132.51533742331287
stgcn,cv,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,810.93604925,40,30,0.7717599868774414,0.9454545454545454,0.7777777777777778,0.7241379310344828,0.75,0.8284471798806733,0.9182778552920071,0.8447279250548136,0.9306930693069307,167,6,8,21,1.0,1.0,0.375,201.86915887850466
stgcn,cv,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,519.4278584849999,26,16,0.6257282495498657,0.896551724137931,0.7,0.7241379310344828,0.711864406779661,0.7068035528151961,0.9035280047837352,0.8360574048235998,0.9158415841584159,164,9,8,21,1.0,1.0,0.375,201.86915887850466
stgcn,cv,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,700.3381683090001,35,25,0.6210938692092896,0.9090909090909091,0.9444444444444444,0.5862068965517241,0.7234042553191489,0.833833826611454,0.9152880207295195,0.7902132748654573,0.9356435643564357,172,1,12,17,1.0,1.0,0.125,67.28971962616822
stgcn,cv,1,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,306.90162422899994,18,8,0.20015552639961243,0.8571428571428571,0.4878048780487805,0.7142857142857143,0.5797101449275363,0.6139814731452689,0.8425531914893616,0.8124620060790273,0.8897338403041825,214,21,8,20,1.0,1.0,0.625,275.5102040816327
stgcn,cv,1,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,287.4348650410002,17,7,0.2950678765773773,0.8923076923076922,0.53125,0.6071428571428571,0.5666666666666667,0.5288096760163884,0.8696048632218845,0.7716565349544073,0.9011406844106464,220,15,11,17,0.8333333333333334,0.8333333333333334,0.75,330.6122448979592
stgcn,cv,1,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,558.6905454580001,33,23,0.4381476938724518,0.90625,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6286138989469093,0.9275075987841945,0.7801671732522797,0.9163498098859315,224,11,11,17,0.8333333333333334,0.8333333333333334,0.625,275.5102040816327
stgcn,cv,2,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,866.7766403850001,47,37,0.9987867474555969,0.8846153846153846,0.9047619047619048,0.5757575757575758,0.7037037037037038,0.7214409307626918,0.8892983892983892,0.7833742833742834,0.9372549019607843,220,2,14,19,0.8333333333333334,0.8333333333333334,0.125,60.81081081081081
stgcn,cv,2,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,62473,0.27192,427.3712139479999,23,13,0.4512285888195038,0.787878787878788,0.6410256410256411,0.7575757575757576,0.6944444444444444,0.7885526683541682,0.8221403221403221,0.8472563472563472,0.9137254901960784,208,14,8,25,0.8333333333333334,0.8333333333333334,0.875,425.6756756756756
